2024-01-04;18:08:56;762;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;270/100;(avg);1;100;1;6d23h
2024-01-04;18:09:11;782;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;3;6d23h
2024-01-04;18:10:26;862;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1325/100;(avg);1;100;3;6d23h
2024-01-04;18:10:41;888;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;6d23h
2024-01-04;18:10:56;907;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;12;6d23h
2024-01-04;18:11:11;934;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;24;6d23h
2024-01-04;18:11:26;947;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;40;6d23h
2024-01-04;18:15:27;216;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;40;6d23h
2024-01-04;18:15:42;235;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:18:42;431;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;411/100;(avg);1;100;1;6d23h
2024-01-04;18:18:57;451;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:19:12;473;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;5;6d23h
2024-01-04;18:23:42;761;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;5;6d23h
2024-01-04;18:23:57;777;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:24:27;814;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;2484/100;(avg);1;100;1;6d23h
2024-01-04;18:24:42;840;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:24:57;861;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;6d23h
2024-01-04;18:25:12;885;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;6d23h
2024-01-04;18:25:27;902;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;25;6d23h
2024-01-04;18:29:28;170;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;25;6d23h
